 
log File 
 
User :zhaomo 
2020/08/22 
14:26
 
Process Ran by zhaomo 
 

映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0         20 K
Registry                        96 Services                   0     38,632 K
smss.exe                       356 Services                   0        520 K
csrss.exe                      588 Services                   0      2,312 K
wininit.exe                    700 Services                   0      1,320 K
services.exe                   772 Services                   0      8,796 K
lsass.exe                      784 Services                   0     16,372 K
svchost.exe                    964 Services                   0      1,052 K
svchost.exe                    996 Services                   0     53,480 K
fontdrvhost.exe               1020 Services                   0        608 K
WUDFHost.exe                   272 Services                   0     11,788 K
svchost.exe                    800 Services                   0     27,564 K
svchost.exe                   1068 Services                   0      5,372 K
svchost.exe                   1228 Services                   0      4,536 K
svchost.exe                   1256 Services                   0      5,404 K
svchost.exe                   1328 Services                   0      5,816 K
svchost.exe                   1376 Services                   0      5,396 K
svchost.exe                   1400 Services                   0      2,208 K
svchost.exe                   1564 Services                   0     10,196 K
svchost.exe                   1576 Services                   0     14,184 K
svchost.exe                   1692 Services                   0      9,644 K
svchost.exe                   1716 Services                   0      4,172 K
svchost.exe                   1804 Services                   0      5,696 K
atiesrxx.exe                  1844 Services                   0      1,768 K
svchost.exe                   1876 Services                   0      9,936 K
svchost.exe                   1912 Services                   0      7,552 K
svchost.exe                   1948 Services                   0     13,028 K
svchost.exe                   2028 Services                   0      6,312 K
svchost.exe                   1712 Services                   0      5,876 K
svchost.exe                   2096 Services                   0      6,340 K
svchost.exe                   2108 Services                   0      1,544 K
svchost.exe                   2116 Services                   0      4,472 K
svchost.exe                   2188 Services                   0      7,644 K
svchost.exe                   2256 Services                   0      2,344 K
svchost.exe                   2324 Services                   0      5,040 K
Memory Compression            2368 Services                   0    341,092 K
igfxCUIService.exe            2408 Services                   0      2,700 K
svchost.exe                   2564 Services                   0     16,488 K
svchost.exe                   2628 Services                   0      3,144 K
svchost.exe                   2644 Services                   0     10,456 K
svchost.exe                   2772 Services                   0      2,644 K
svchost.exe                   2856 Services                   0      9,376 K
svchost.exe                   2876 Services                   0      4,428 K
RtkAudioService64.exe         2964 Services                   0      2,408 K
svchost.exe                   2988 Services                   0      2,608 K
svchost.exe                   3052 Services                   0      3,544 K
svchost.exe                   3096 Services                   0      5,228 K
svchost.exe                   3104 Services                   0      2,892 K
svchost.exe                   3328 Services                   0     15,676 K
svchost.exe                   3376 Services                   0      7,336 K
spoolsv.exe                   3476 Services                   0      4,676 K
svchost.exe                   3520 Services                   0     41,552 K
svchost.exe                   3652 Services                   0      3,104 K
svchost.exe                   3660 Services                   0      4,148 K
svchost.exe                   3844 Services                   0     39,724 K
svchost.exe                   3852 Services                   0      2,456 K
svchost.exe                   3860 Services                   0     52,036 K
svchost.exe                   3880 Services                   0      9,608 K
svchost.exe                   3888 Services                   0     28,272 K
svchost.exe                   3900 Services                   0     10,912 K
svchost.exe                   3908 Services                   0        988 K
svchost.exe                   3916 Services                   0      3,236 K
svchost.exe                   3928 Services                   0      1,788 K
AppleMobileDeviceService.     3952 Services                   0      3,772 K
mDNSResponder.exe             3980 Services                   0      4,380 K
esif_uf.exe                   3988 Services                   0      1,432 K
ibtsiva.exe                   3996 Services                   0      2,220 K
QQProtect.exe                 4056 Services                   0     12,088 K
AlibabaProtect.exe            4080 Services                   0     21,056 K
IntelCpHDCPSvc.exe            3580 Services                   0      1,952 K
svchost.exe                   4156 Services                   0     16,236 K
vmnetdhcp.exe                 4200 Services                   0      1,508 K
mysqld.exe                    4212 Services                   0      4,740 K
FNPLicensingService.exe       4232 Services                   0      2,848 K
vmnat.exe                     4240 Services                   0      3,940 K
WavesSysSvc64.exe             4284 Services                   0      1,792 K
svchost.exe                   4372 Services                   0     11,572 K
svchost.exe                   4412 Services                   0      4,004 K
dasHost.exe                   4540 Services                   0     12,052 K
IntelCpHeciSvc.exe            4608 Services                   0      1,992 K
svchost.exe                   4648 Services                   0     27,992 K
vmware-authd.exe              4660 Services                   0      6,656 K
vmware-usbarbitrator64.ex     4704 Services                   0      3,824 K
